ID	Gene Name	Species	GOTERM_BP_DIRECT
AKT1	AKT serine/threonine kinase 1(AKT1)	Homo sapiens	GO:0000060~protein import into nucleus, translocation,GO:0001649~osteoblast differentiation,GO:0001893~maternal placenta development,GO:0001934~positive regulation of protein phosphorylation,GO:0001938~positive regulation of endothelial cell proliferation,GO:0005978~glycogen biosynthetic process,GO:0005979~regulation of glycogen biosynthetic process,GO:0006006~glucose metabolic process,GO:0006412~translation,GO:0006417~regulation of translation,GO:0006464~cellular protein modification process,GO:0006468~protein phosphorylation,GO:0006469~negative regulation of protein kinase activity,GO:0006809~nitric oxide biosynthetic process,GO:0006924~activation-induced cell death of T cells,GO:0006954~inflammatory response,GO:0006974~cellular response to DNA damage stimulus,GO:0006979~response to oxidative stress,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007281~germ cell development,GO:0007568~aging,GO:0008283~cell proliferation,GO:0008286~insulin receptor signaling pathway,GO:0008637~apoptotic mitochondrial changes,GO:0009408~response to heat,GO:0010507~negative regulation of autophagy,GO:0010629~negative regulation of gene expression,GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport,GO:0010763~positive regulation of fibroblast migration,GO:0010765~positive regulation of sodium ion transport,GO:0010907~positive regulation of glucose metabolic process,GO:0010951~negative regulation of endopeptidase activity,GO:0010975~regulation of neuron projection development,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0015758~glucose transport,GO:0016310~phosphorylation,GO:0016567~protein ubiquitination,GO:0018105~peptidyl-serine phosphorylation,GO:0018107~peptidyl-threonine phosphorylation,GO:0021510~spinal cord development,GO:0030030~cell projection organization,GO:0030154~cell differentiation,GO:0030163~protein catabolic process,GO:0030168~platelet activation,GO:0030212~hyaluronan metabolic process,GO:0030307~positive regulation of cell growth,GO:0030334~regulation of cell migration,GO:0031018~endocrine pancreas development,GO:0031295~T cell costimulation,GO:0031641~regulation of myelination,GO:0031659~positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0031999~negative regulation of fatty acid beta-oxidation,GO:0032079~positive regulation of endodeoxyribonuclease activity,GO:0032094~response to food,GO:0032270~positive regulation of cellular protein metabolic process,GO:0032287~peripheral nervous system myelin maintenance,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032869~cellular response to insulin stimulus,GO:0032880~regulation of protein localization,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0034405~response to fluid shear stress,GO:0035556~intracellular signal transduction,GO:0035655~interleukin-18-mediated signaling pathway,GO:0035924~cellular response to vascular endothelial growth factor stimulus,GO:0038128~ERBB2 signaling pathway,GO:0042593~glucose homeostasis,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043488~regulation of mRNA stability,GO:0043491~protein kinase B signaling,GO:0043536~positive regulation of blood vessel endothelial cell migration,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045600~positive regulation of fat cell differentiation,GO:0045725~positive regulation of glycogen biosynthetic process,GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,GO:0045792~negative regulation of cell size,GO:0045861~negative regulation of proteolysis,GO:0045907~positive regulation of vasoconstriction,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046326~positive regulation of glucose import,GO:0046329~negative regulation of JNK cascade,GO:0046777~protein autophosphorylation,GO:0046889~positive regulation of lipid biosynthetic process,GO:0048009~insulin-like growth factor receptor signaling pathway,GO:0048015~phosphatidylinositol-mediated signaling,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050999~regulation of nitric-oxide synthase activity,GO:0051000~positive regulation of nitric-oxide synthase activity,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051146~striated muscle cell differentiation,GO:0060416~response to growth hormone,GO:0060644~mammary gland epithelial cell differentiation,GO:0060709~glycogen cell differentiation involved in embryonic placenta development,GO:0060716~labyrinthine layer blood vessel development,GO:0070141~response to UV-A,GO:0071260~cellular response to mechanical stimulus,GO:0071364~cellular response to epidermal growth factor stimulus,GO:0071380~cellular response to prostaglandin E stimulus,GO:0071407~cellular response to organic cyclic compound,GO:0071456~cellular response to hypoxia,GO:0072655~establishment of protein localization to mitochondrion,GO:0072656~maintenance of protein location in mitochondrion,GO:0090004~positive regulation of establishment of protein localization to plasma membrane,GO:0090201~negative regulation of release of cytochrome c from mitochondria,GO:0097011~cellular response to granulocyte macrophage colony-stimulating factor stimulus,GO:0097194~execution phase of apoptosis,GO:0099565~chemical synaptic transmission, postsynaptic,GO:0100002~negative regulation of protein kinase activity by protein phosphorylation,GO:1900182~positive regulation of protein localization to nucleus,GO:1901215~negative regulation of neuron death,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1901976~regulation of cell cycle checkpoint,GO:1902176~negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,GO:1990090~cellular response to nerve growth factor stimulus,GO:1990418~response to insulin-like growth factor stimulus,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
AKT2	AKT serine/threonine kinase 2(AKT2)	Homo sapiens	GO:0001934~positive regulation of protein phosphorylation,GO:0005978~glycogen biosynthetic process,GO:0006006~glucose metabolic process,GO:0006417~regulation of translation,GO:0006464~cellular protein modification process,GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0008286~insulin receptor signaling pathway,GO:0008643~carbohydrate transport,GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport,GO:0010907~positive regulation of glucose metabolic process,GO:0018105~peptidyl-serine phosphorylation,GO:0030334~regulation of cell migration,GO:0030335~positive regulation of cell migration,GO:0031340~positive regulation of vesicle fusion,GO:0032000~positive regulation of fatty acid beta-oxidation,GO:0032287~peripheral nervous system myelin maintenance,GO:0032869~cellular response to insulin stimulus,GO:0035556~intracellular signal transduction,GO:0045444~fat cell differentiation,GO:0045725~positive regulation of glycogen biosynthetic process,GO:0046326~positive regulation of glucose import,GO:0060644~mammary gland epithelial cell differentiation,GO:0065002~intracellular protein transmembrane transport,GO:0071156~regulation of cell cycle arrest,GO:0072659~protein localization to plasma membrane,GO:0090314~positive regulation of protein targeting to membrane,GO:0090630~activation of GTPase activity,GO:2000147~positive regulation of cell motility,GO:2001275~positive regulation of glucose import in response to insulin stimulus,
AKT3	AKT serine/threonine kinase 3(AKT3)	Homo sapiens	GO:0000002~mitochondrial genome maintenance,GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0018105~peptidyl-serine phosphorylation,GO:0035556~intracellular signal transduction,
ACTR2	ARP2 actin related protein 2 homolog(ACTR2)	Homo sapiens	GO:0006928~movement of cell or subcellular component,GO:0007163~establishment or maintenance of cell polarity,GO:0008356~asymmetric cell division,GO:0016344~meiotic chromosome movement towards spindle pole,GO:0016482~cytosolic transport,GO:0033206~meiotic cytokinesis,GO:0034314~Arp2/3 complex-mediated actin nucleation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0042384~cilium assembly,GO:0048013~ephrin receptor signaling pathway,GO:0051653~spindle localization,
ACTR3	ARP3 actin related protein 3 homolog(ACTR3)	Homo sapiens	GO:0006928~movement of cell or subcellular component,GO:0007163~establishment or maintenance of cell polarity,GO:0008356~asymmetric cell division,GO:0016344~meiotic chromosome movement towards spindle pole,GO:0033206~meiotic cytokinesis,GO:0034314~Arp2/3 complex-mediated actin nucleation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0048013~ephrin receptor signaling pathway,GO:0051653~spindle localization,GO:0060271~cilium morphogenesis,
ATM	ATM serine/threonine kinase(ATM)	Homo sapiens	GO:0000077~DNA damage checkpoint,GO:0000723~telomere maintenance,GO:0000724~double-strand break repair via homologous recombination,GO:0000729~DNA double-strand break processing,GO:0000731~DNA synthesis involved in DNA repair,GO:0000732~strand displacement,GO:0001666~response to hypoxia,GO:0001756~somitogenesis,GO:0002331~pre-B cell allelic exclusion,GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0006975~DNA damage induced protein phosphorylation,GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0007004~telomere maintenance via telomerase,GO:0007050~cell cycle arrest,GO:0007094~mitotic spindle assembly checkpoint,GO:0007131~reciprocal meiotic recombination,GO:0007165~signal transduction,GO:0007420~brain development,GO:0007507~heart development,GO:0008340~determination of adult lifespan,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0010212~response to ionizing radiation,GO:0010506~regulation of autophagy,GO:0016572~histone phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0030889~negative regulation of B cell proliferation,GO:0032212~positive regulation of telomere maintenance via telomerase,GO:0033129~positive regulation of histone phosphorylation,GO:0033151~V(D)J recombination,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0036289~peptidyl-serine autophosphorylation,GO:0042159~lipoprotein catabolic process,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043517~positive regulation of DNA damage response, signal transduction by p53 class mediator,GO:0043525~positive regulation of neuron apoptotic process,GO:0045141~meiotic telomere clustering,GO:0046777~protein autophosphorylation,GO:0048599~oocyte development,GO:0051402~neuron apoptotic process,GO:0051726~regulation of cell cycle,GO:0051972~regulation of telomerase activity,GO:0071044~histone mRNA catabolic process,GO:0071480~cellular response to gamma radiation,GO:0071481~cellular response to X-ray,GO:0071500~cellular response to nitrosative stress,GO:0072434~signal transduction involved in mitotic G2 DNA damage checkpoint,GO:0090399~replicative senescence,GO:0097694~establishment of RNA localization to telomere,GO:0097695~establishment of macromolecular complex localization to telomere,GO:1900034~regulation of cellular response to heat,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904262~negative regulation of TORC1 signaling,GO:1904354~negative regulation of telomere capping,GO:1904358~positive regulation of telomere maintenance via telomere lengthening,GO:1904884~positive regulation of telomerase catalytic core complex assembly,
ABCA1	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens	GO:0002790~peptide secretion,GO:0006497~protein lipidation,GO:0006911~phagocytosis, engulfment,GO:0007040~lysosome organization,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007584~response to nutrient,GO:0008203~cholesterol metabolic process,GO:0010745~negative regulation of macrophage derived foam cell differentiation,GO:0010875~positive regulation of cholesterol efflux,GO:0010887~negative regulation of cholesterol storage,GO:0015917~aminophospholipid transport,GO:0016197~endosomal transport,GO:0030819~positive regulation of cAMP biosynthetic process,GO:0032367~intracellular cholesterol transport,GO:0032489~regulation of Cdc42 protein signal transduction,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0034380~high-density lipoprotein particle assembly,GO:0034616~response to laminar fluid shear stress,GO:0038027~apolipoprotein A-I-mediated signaling pathway,GO:0042157~lipoprotein metabolic process,GO:0042493~response to drug,GO:0042632~cholesterol homeostasis,GO:0043691~reverse cholesterol transport,GO:0045332~phospholipid translocation,GO:0050702~interleukin-1 beta secretion,GO:0055091~phospholipid homeostasis,GO:0055098~response to low-density lipoprotein particle,GO:0060155~platelet dense granule organization,GO:0071222~cellular response to lipopolysaccharide,GO:0071300~cellular response to retinoic acid,GO:0071397~cellular response to cholesterol,GO:0090107~regulation of high-density lipoprotein particle assembly,GO:0098656~anion transmembrane transport,
ABCB1	ATP binding cassette subfamily B member 1(ABCB1)	Homo sapiens	GO:0000086~G2/M transition of mitotic cell cycle,GO:0002481~antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-dependent,GO:0002485~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent,GO:0002489~antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent,GO:0002591~positive regulation of antigen processing and presentation of peptide antigen via MHC class I,GO:0006810~transport,GO:0006855~drug transmembrane transport,GO:0042493~response to drug,GO:0042908~xenobiotic transport,GO:0045332~phospholipid translocation,GO:0055085~transmembrane transport,GO:0072089~stem cell proliferation,
ABCC2	ATP binding cassette subfamily C member 2(ABCC2)	Homo sapiens	GO:0006810~transport,GO:0006855~drug transmembrane transport,GO:0006979~response to oxidative stress,GO:0009408~response to heat,GO:0015723~bilirubin transport,GO:0015732~prostaglandin transport,GO:0030644~cellular chloride ion homeostasis,GO:0031427~response to methotrexate,GO:0043627~response to estrogen,GO:0046685~response to arsenic-containing substance,GO:0048545~response to steroid hormone,GO:0055085~transmembrane transport,GO:0070327~thyroid hormone transport,GO:0098656~anion transmembrane transport,
ABCG1	ATP binding cassette subfamily G member 1(ABCG1)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0006810~transport,GO:0008203~cholesterol metabolic process,GO:0009720~detection of hormone stimulus,GO:0010033~response to organic substance,GO:0010745~negative regulation of macrophage derived foam cell differentiation,GO:0010872~regulation of cholesterol esterification,GO:0010875~positive regulation of cholesterol efflux,GO:0010887~negative regulation of cholesterol storage,GO:0032367~intracellular cholesterol transport,GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0033993~response to lipid,GO:0034374~low-density lipoprotein particle remodeling,GO:0034375~high-density lipoprotein particle remodeling,GO:0034436~glycoprotein transport,GO:0042157~lipoprotein metabolic process,GO:0042632~cholesterol homeostasis,GO:0042987~amyloid precursor protein catabolic process,GO:0043691~reverse cholesterol transport,GO:0045542~positive regulation of cholesterol biosynthetic process,GO:0055085~transmembrane transport,GO:0055091~phospholipid homeostasis,GO:0055099~response to high density lipoprotein particle,GO:1901998~toxin transport,
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)(ABCG2)	Homo sapiens	GO:0006810~transport,GO:0006855~drug transmembrane transport,GO:0006879~cellular iron ion homeostasis,GO:0015886~heme transport,GO:0042493~response to drug,GO:0042908~xenobiotic transport,GO:0046415~urate metabolic process,
ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)(ATP5S)	Homo sapiens	GO:0006754~ATP biosynthetic process,GO:0015992~proton transport,GO:0042776~mitochondrial ATP synthesis coupled proton transport,
ATP4A	ATPase H+/K+ transporting alpha subunit(ATP4A)	Homo sapiens	GO:0006810~transport,GO:0006883~cellular sodium ion homeostasis,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0015991~ATP hydrolysis coupled proton transport,GO:0030007~cellular potassium ion homeostasis,GO:0034220~ion transmembrane transport,GO:0036376~sodium ion export from cell,
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)	Homo sapiens	GO:0006883~cellular sodium ion homeostasis,GO:0006885~regulation of pH,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0015991~ATP hydrolysis coupled proton transport,GO:0030007~cellular potassium ion homeostasis,GO:0034220~ion transmembrane transport,GO:0036376~sodium ion export from cell,
ATP1B2	ATPase Na+/K+ transporting subunit beta 2(ATP1B2)	Homo sapiens	GO:0006810~transport,GO:0006813~potassium ion transport,GO:0006814~sodium ion transport,GO:0006883~cellular sodium ion homeostasis,GO:0007155~cell adhesion,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0030007~cellular potassium ion homeostasis,GO:0032781~positive regulation of ATPase activity,GO:0034220~ion transmembrane transport,GO:0036376~sodium ion export from cell,GO:0050821~protein stabilization,GO:0050900~leukocyte migration,GO:0086009~membrane repolarization,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:0090662~ATP hydrolysis coupled transmembrane transport,GO:1901018~positive regulation of potassium ion transmembrane transporter activity,GO:1903278~positive regulation of sodium ion export from cell,GO:1903288~positive regulation of potassium ion import,GO:1903779~regulation of cardiac conduction,
